conceptUri,preferredLabel,altLabels
http://data.europa.eu/esco/occupation/00c8d1cf-24f2-47d1-9f10-765e1c102811,technicien d’engins agricoles/technicienne d’engins agricoles,technicien d'engins agricoles|réparateur d'engins agricoles|réparatrice d'engins agricoles|technicienne d'engins agricoles|technicienne d'engins d'exploitation agricole|technicien d'engins d'exploitation agricole
http://data.europa.eu/esco/occupation/0090dd54-057a-4f65-bbe8-f74c4999e8e8,opérateur de machine de production de pâtes alimentaires/opératrice de machine de production de pâtes alimentaires,opératrice de machine de production de pâtes alimentaires|opérateur de machine de production de pâtes alimentaires|opératrice de machine à pâtes|opérateur de machine à pâtes
http://data.europa.eu/esco/occupation/000e93a3-d956-4e45-aacb-f12c83fedf84,opérateur de tréfilerie/opératrice de tréfilerie,opérateur de tréfilerie|opératrice de tréfilerie
http://data.europa.eu/esco/occupation/01da600c-ddb3-4a37-95e9-5301b459ae90,opérateur de production de nitroglycérine/opératrice de production de nitroglycérine,opérateur de séparateur de nitroglycérine/opératrice de séparateur de nitroglycérine|séparatrice de nitroglycérine|opérateur de production de nitroglycérine|séparateur de nitroglycérine/séparatrice de nitroglycérine|séparateur de nitroglycérine|opératrice de séparateur de nitroglycérine|opérateur de séparateur de nitroglycérine|opératrice de production de nitroglycérine
http://data.europa.eu/esco/occupation/00cee175-1376-43fb-9f02-ba3d7a910a58,conducteur d’autobus/conductrice d’autobus,conducteur de bus urbain et interurbain/conductrice de bus urbain et interurbain|conducteur d’autobus|conducteur de bus|chauffeuse de car|conducteur de transport scolaire|chauffeur de car/chauffeuse de car|conductrice de bus|chauffeur de bus|chauffeur de bus/chauffeuse de bus|conducteur de car/conductrice de car|conducteur de transport scolaire/conductrice de transport scolaire|conductrice de transport scolaire|conductrice d’autobus|conductrice de car|conducteur de car|conducteur de bus/conductrice de bus|chauffeur de car|chauffeuse de bus|conducteur de bus urbain et interurbain|conductrice de bus urbain et interurbain
http://data.europa.eu/esco/occupation/02b5b7b0-b856-4ac7-924c-8c35c7880b2a,enduiseur industriel/enduiseuse industrielle,enduiseuse industrielle|enduiseur industriel|opérateur d’enduiseuse - peinture et revêtements industriels/opératrice d’enduiseuse - peinture et revêtements industriels|opérateur d’enduiseuse de production/opératrice d’enduiseuse de production|opérateur d’enduiseuse de production|opératrice d’enduiseuse - peinture et revêtements industriels|opérateur d’enduiseuse - peinture et revêtements industriels|opératrice d’enduiseuse de production
http://data.europa.eu/esco/occupation/026401a9-7d56-4d7b-8052-38985ddbeafa,apiculteur/apicultrice,apicultrice|responsable de ruche|productrice de miel|producteur de miel|apiculteur
http://data.europa.eu/esco/occupation/021663ca-a367-472e-a1f0-6d8ab5b2d860,tuteur/tutrice,gérant de tutelle|gérant de tutelle/gérante de tutelle|déléguée à la tutelle|tuteur|délégué à la tutelle|gérante de tutelle|délégué à la tutelle/déléguée à la tutelle|tutrice
http://data.europa.eu/esco/occupation/0085f271-5999-4d42-b879-75c3b4269883,opérateur de machine à hydrogénation/opératrice de machine à hydrogénation,technicien de machine à hydrogénation|technicienne de machine à hydrogéner|opératrice de machine à hydrogéner|technicienne de machine à hydrogénation|opérateur de machine à hydrogéner|technicien de machine à hydrogéner
http://data.europa.eu/esco/occupation/002da35b-7808-43f3-83bf-63596b8b351f,gestionnaire de recettes dans le secteur Horeca,responsable des revenus hôteliers|yield manager|gestionnaire des revenus hôteliers
http://data.europa.eu/esco/occupation/026a5233-cad9-4b1d-8852-22c2685ab34e,conducteur de systèmes de pompage de pétrole/conductrice de systèmes de pompage de pétrole,conducteur de système de pompage de pétrole|conductrice de système de pompage de pétrole
http://data.europa.eu/esco/occupation/0152b59d-5005-470c-9273-ef321477d8dc,conducteur de machines de produits non tissés/conductrice de machines de produits non tissés,conductrice de ligne de produits non tissés|conducteur de ligne de produits non tissés/conductrice de ligne de produits non tissés|opératrice en fabrication de produits non tissés|opérateur en fabrication de produits non tissés|conducteur de ligne de produits non tissés|conducteur de machines de produits non tissés|conductrice de machines de produits non tissés|opérateur en fabrication de produits non tissés/opératrice en fabrication de produits non tissés
http://data.europa.eu/esco/occupation/01ffb917-98dc-48c1-91ad-93c4104e791d,ingénieur en biotechnologies de la santé/ingénieure en biotechnologies de la santé,ingénieur en biotechnologies de la santé|ingénieure en biotechnologies de la santé
