conceptUri,preferredLabel,altLabels
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc,recenser les services disponibles,
http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316,assurer l’uniformité de coquilles,
http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9,enseigner l’économie domestique,
http://data.europa.eu/esco/skill/00c04e40-35ea-4ed1-824c-82f936c8f876,développement par incréments,
http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb,entretenir des bassins d’aquaculture,
http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35,contrôler la conformité à la réglementation sur les véhicules ferroviaires,
http://data.europa.eu/esco/skill/00e895f4-b9d3-4a1a-8c36-baf10fbfb982,confectionner des articles d’habillement,
http://data.europa.eu/esco/skill/00dd3271-077f-4a12-a958-e297fdd724ce,faire fonctionner des engins agricoles,
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02,Haskell,
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c,élaborer des concepts d’économie d’énergie,
http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3,intervenir dans la rue dans le cadre de l’action sociale,
http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828,appliquer des pratiques de travail social anti-oppressif,
http://data.europa.eu/esco/skill/00e261cc-669c-4b94-8950-d038eceb92d8,contrôler des stocks de produits pyrotechniques,
http://data.europa.eu/esco/skill/00cd1d60-782f-48e7-9a7b-b518f2b146b8,produire des pièces de guitare,
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613,fabriquer des ingrédients,
http://data.europa.eu/esco/skill/00eada7f-0b83-4f0c-af81-d7f92d838000,sécher des feuilles de tabac,
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990,gérer des déchets de capture de poissons,
http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d,manipuler des équipements lors du travail en suspension,
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d,appliquer des principes diplomatiques,
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597,appliquer la politique relative au risque de crédit,
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831,mener des enquêtes policières,
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05,mener des recherches sur la flore,
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f,installer une pompe à chaleur,
http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330,travailler avec des solistes,
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2,superviser des procédures correctionnelles,
http://data.europa.eu/esco/skill/00e53a0a-c0ba-4c9f-a2ed-4706d5832a00,garantir la satisfaction des clients,
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724,réaliser des études toxicologiques,
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0,traiter les demandes des clients concernant le fret,
http://data.europa.eu/esco/skill/00ebb379-ce26-439a-ba89-9a7d1ef2f696,élaborer un programme de rééducation,élaborer un programme de réadaptation
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0,vérifier les locomotives,
http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab,gérer le personnel musical,
